#leave the following line; indicates category name
biosyn

#updated on 01-09-2019
PF13183 4Fe-4S dicluster domain
PF18130 ATP-grasp N-terminal domain
PF13535 ATP-grasp domain
PF14518 Iron-containing redox enzyme
PF00708 Acylphosphatase
PF04954 Siderophore-interacting protein
PF08021 Siderophore-interacting FAD-binding domain
PF12697 Alpha/beta hydrolase family
PF13561 Enoyl-(Acyl carrier protein) reductase
PF12710 haloacid dehalogenase-like hydrolase
PF13581 Histidine kinase-like ATPase domain
PF16896 Phosphogluconate dehydrogenase (decarboxylating) C-term

#Removed:
# PF00753	Metallo-beta-lactamase superfamily
# PF00652	Ricin-type beta-trefoil lectin domain
# PF00403	Heavy-metal-associated domain
# PF07993	Male sterility protein
# PF00013	KH domain
# PF00015	Methyl-accepting chemotaxis protein (MCP) signalling domain
# PF00027	Cyclic nucleotide-binding domain

# updates on 23_01_2019
PF00432	Prenyltransferase and squalene oxidase repeat
PF00433	Protein kinase C terminal domain
PF00438	S-adenosylmethionine synthetase, N-terminal domain
PF00441	Acyl-CoA dehydrogenase, C-terminal domain
# PF00448	SRP54-type protein, GTPase domain
PF00449	Urease alpha-subunit, N-terminal domain
PF00450	Serine carboxypeptidase
PF00454	Phosphatidylinositol 3- and 4-kinase
PF00456	Transketolase, thiamine diphosphate binding domain
PF00457	Glycosyl hydrolases family 11
PF00459	Inositol monophosphatase family
PF00462	Glutaredoxin
PF00463	Isocitrate lyase family
PF00464	Serine hydroxymethyltransferase
PF00465	Iron-containing alcohol dehydrogenase
PF00475	Imidazoleglycerol-phosphate dehydratase
PF00478	IMP dehydrogenase / GMP reductase domain
PF00479	Glucose-6-phosphate dehydrogenase, NAD binding domain
# PF00482	Type II secretion system (T2SS), protein F
PF00483	Nucleotidyl transferase
PF00484	Carbonic anhydrase
PF00485	Phosphoribulokinase / Uridine kinase family
PF00487	Fatty acid desaturase
# PF00488	MutS domain V
PF00490	Delta-aminolevulinic acid dehydratase
PF00491	Arginase family
# PF00493	MCM2/3/5 family
PF00494	Squalene/phytoene synthase
# PF00498	FHA domain
# PF00499	NADH-ubiquinone/plastoquinone oxidoreductase chain 6
PF00501	AMP-binding enzyme
# PF00504	Chlorophyll A-B binding protein
PF00507	NADH-ubiquinone/plastoquinone oxidoreductase, chain 3
PF00512	His Kinase A (phospho-acceptor) domain
# PF00524	E1 Protein, N terminal domain
PF00534	Glycosyl transferases group 1
PF00535	Glycosyl transferase family 2
PF00547	Urease, gamma subunit
PF00548	3C cysteine protease (picornain 3C)
PF00549	CoA-ligase
PF00550	Phosphopantetheine attachment site
PF00551	Formyl transferase
# PF00553	Cellulose binding domain
# PF00556	Antenna complex alpha/beta subunit
PF00561	alpha/beta hydrolase fold
# PF00563	EAL domain
# PF00570	HRDC domain
# PF00577	Outer membrane usher protein
PF00578	AhpC/TSA family
PF00581	Rhodanese-like domain
PF00583	Acetyltransferase (GNAT) family
PF00586	AIR synthase related protein, N-terminal domain
# PF00588	SpoU rRNA Methylase family
PF00590	Tetrapyrrole (Corrin/Porphyrin) Methylases
PF00591	Glycosyl transferase family, a/b domain
PF00596	Class II Aldolase and Adducin N-terminal domain
PF00609	Diacylglycerol kinase accessory domain
PF00625	Guanylate kinase
PF00639	PPIC-type PPIASE domain
# PF00644	Poly(ADP-ribose) polymerase catalytic domain

PF00656	Caspase domain
PF00657	GDSL-like Lipase/Acylhydrolase
# PF00662	NADH-Ubiquinone oxidoreductase (complex I), chain 5 N-terminus
PF00667	FAD binding domain
PF00668	Condensation domain
PF00670	S-adenosyl-L-homocysteine hydrolase, NAD binding domain
PF00676	Dehydrogenase E1 component
PF00682	HMGL-like
PF00685	Sulfotransferase domain
# PF00686	Starch binding domain
PF00692	dUTPase
PF00693	Thymidine kinase from herpesvirus
PF00694	Aconitase C-terminal domain
PF00696	Amino acid kinase family
PF00697	N-(5'phosphoribosyl)anthranilate (PRA) isomerase
PF00698	Acyl transferase domain
PF00699	Urease beta subunit
PF00701	Dihydrodipicolinate synthetase family
PF00702	haloacid dehalogenase-like hydrolase
PF00703	Glycosyl hydrolases family 2
PF00704	Glycosyl hydrolases family 18
PF00709	Adenylosuccinate synthetase
PF00716	Assemblin (Peptidase family S21)
PF00719	Inorganic pyrophosphatase
PF00722	Glycosyl hydrolases family 16
PF00723	Glycosyl hydrolases family 15
PF00724	NADH:flavin oxidoreductase / NADH oxidase family
PF00725	3-hydroxyacyl-CoA dehydrogenase, C-terminal domain
PF00728	Glycosyl hydrolase family 20, catalytic domain
PF00731	AIR carboxylase
PF00732	GMC oxidoreductase
PF00733	Asparagine synthase
# PF00734	Fungal cellulose binding domain
PF00742	Homoserine dehydrogenase
PF00743	Flavin-binding monooxygenase-like
PF00745	Glutamyl-tRNAGlu reductase, dimerisation domain
# PF00752	XPG N-terminal domain
# PF00754	F5/8 type C domain
PF00755	Choline/Carnitine o-acyltransferase
PF00756	Putative esterase
# PF00757	Furin-like cysteine rich region
PF00759	Glycosyl hydrolase family 9
PF00762	Ferrochelatase
PF00763	Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain
PF00764	Arginosuccinate synthase
PF00765	Autoinducer synthase
PF00766	Electron transfer flavoprotein FAD-binding domain
PF00768	D-alanyl-D-alanine carboxypeptidase
PF00770	Adenovirus endoprotease
# PF00773	RNB domain
PF00775	Dioxygenase
PF00777	Glycosyltransferase family 29 (sialyltransferase)
PF00781	Diacylglycerol kinase catalytic domain
PF00782	Dual specificity phosphatase, catalytic domain
PF00793	DAHP synthetase I family
PF00795	Carbon-nitrogen hydrolase
PF00797	N-acetyltransferase
PF00800	Prephenate dehydratase
PF00809	Pterin binding enzyme
PF00815	Histidinol dehydrogenase
# PF00816	H-NS histone family
# PF00817	impB/mucB/samB family
PF00821	Phosphoenolpyruvate carboxykinase C-terminal P-loop domain
# PF00823	PPE family
PF00834	Ribulose-phosphate 3 epimerase family
PF00837	Iodothyronine deiodinase
PF00840	Glycosyl hydrolase family 7
PF00842	Alanine racemase, C-terminal domain
PF00848	Ring hydroxylating alpha subunit (catalytic domain)
PF00851	Helper component proteinase
PF00852	Glycosyltransferase family 10 (fucosyltransferase) C-term
PF00857	Isochorismatase family
PF00863	Peptidase family C4
PF00866	Ring hydroxylating beta subunit
# PF00867	XPG I-region
PF00871	Acetokinase family
# PF00874	PRD domain
#PF00877	NlpC/P60 family
PF00881	Nitroreductase family
PF00882	Zinc dependent phospholipase C
PF00883	Cytosol aminopeptidase family, catalytic domain
PF00884	Sulfatase
PF00885	6,7-dimethyl-8-ribityllumazine synthase
PF00890	FAD binding domain
PF00891	O-methyltransferase
PF00899	ThiF family
PF00903	Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF00908	dTDP-4-dehydrorhamnose 3,5-epimerase
PF00920	Dehydratase family
PF00923	Transaldolase/Fructose-6-phosphate aldolase
PF00925	GTP cyclohydrolase II
PF00926	3,4-dihydroxy-2-butanone 4-phosphate synthase
PF00927	Transglutaminase family, C-terminal ig like domain
PF00933	Glycosyl hydrolase family 3 N terminal domain
# PF00934	PE family
PF00941	FAD binding domain in molybdopterin dehydrogenase
# PF00944	Alphavirus core protein
# PF00947	Picornavirus core protein 2A
PF00949	Peptidase S7, Flavivirus NS3 serine protease
PF00953	Glycosyl transferase family 4
PF00958	GMP synthase C terminal domain
# PF00959	Phage lysozyme
# PF00960	Neocarzinostatin family
PF00962	Adenosine/AMP deaminase
PF00970	Oxidoreductase FAD-binding domain
PF00975	Thioesterase domain
PF00977	Histidine biosynthesis protein
PF00982	Glycosyltransferase family 20
PF00984	UDP-glucose/GDP-mannose dehydrogenase family, central domain
PF00990	Diguanylate cyclase, GGDEF domain
PF00994	Probable molybdopterin binding domain
# PF01001	Hepatitis C virus non-structural protein NS4b
# PF01002	Flavivirus non-structural protein NS2B
PF01011	PQQ enzyme repeat
PF01012	Electron transfer flavoprotein domain
PF01019	Gamma-glutamyltranspeptidase
# PF01024	Colicin pore forming domain
# PF01035	6-O-methylguanine DNA methyltransferase, DNA binding domain
# PF01037	Lrp/AsnC ligand binding domain
PF01039	Carboxyl transferase domain
PF01040	UbiA prenyltransferase family
PF01041	DegT/DnrJ/EryC1/StrS aminotransferase family
PF01048	Phosphorylase superfamily
PF01050	Mannose-6-phosphate isomerase
PF01053	Cys/Met metabolism PLP-dependent enzyme
PF01055	Glycosyl hydrolases family 31
PF01059	NADH-ubiquinone oxidoreductase chain 4, amino terminus
# PF01062	Bestrophin, RFP-TM, chloride channel
PF01063	Amino-transferase class IV
# PF01064	Activin types I and II receptor domain
PF01066	CDP-alcohol phosphatidyltransferase
PF01070	FMN-dependent dehydrogenase
PF01071	Phosphoribosylglycinamide synthetase, ATP-grasp (A) domain
PF01073	3-beta hydroxysteroid dehydrogenase/isomerase family
PF01074	Glycosyl hydrolases family 38 N-terminal domain
PF01075	Glycosyltransferase family 9 (heptosyltransferase)
PF01077	Nitrite and sulphite reductase 4Fe-4S domain
PF01078	Magnesium chelatase, subunit ChlI
# PF01079	Hint module
PF01080	Presenilin
PF01081	KDPG and KHG aldolase
PF01082	Copper type II ascorbate-dependent monooxygenase, N-terminal domain
PF01083	Cutinase
PF01087	Galactose-1-phosphate uridyl transferase, N-terminal domain
# PF01094	Receptor family ligand binding region
PF01095	Pectinesterase
PF01106	NifU-like domain
PF01111	Cyclin-dependent kinase regulatory subunit
PF01112	Asparaginase
PF01113	Dihydrodipicolinate reductase, N-terminus
PF01116	Fructose-bisphosphate aldolase class-II
PF01118	Semialdehyde dehydrogenase, NAD binding domain
PF01120	Alpha-L-fucosidase
PF01121	Dephospho-CoA kinase
# PF01123	Staphylococcal/Streptococcal toxin, OB-fold domain
PF01126	Heme oxygenase
PF01127	Succinate dehydrogenase/Fumarate reductase transmembrane subunit
PF01128	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
PF01129	NAD:arginine ADP-ribosyltransferase
# PF01131	DNA topoisomerase
# PF01134	Glucose inhibited division protein A
PF01135	Protein-L-isoaspartate(D-aspartate) O-methyltransferase (PCMT)
PF01136	Peptidase family U32
# PF01139	tRNA-splicing ligase RtcB
PF01144	Coenzyme A transferase
# PF01145	SPFH domain / Band 7 family
PF01148	Cytidylyltransferase family
PF01149	Formamidopyrimidine-DNA glycosylase N-terminal domain
PF01150	GDA1/CD39 (nucleoside phosphatase) family
# PF01152	Bacterial-like globin
PF01154	Hydroxymethylglutaryl-coenzyme A synthase N terminal
# PF01161	Phosphatidylethanolamine-binding protein
# F01165	Ribosomal protein S21
PF01168	Alanine racemase, N-terminal domain
# PF01171	PP-loop family
PF01174	SNO glutamine amidotransferase family
PF01175	Urocanase Rossmann-like domain
PF01177	Asp/Glu/Hydantoin racemase
PF01179	Copper amine oxidase, enzyme domain
PF01180	Dihydroorotate dehydrogenase
PF01182	Glucosamine-6-phosphate isomerases/6-phosphogluconolactonase
PF01183	Glycosyl hydrolases family 25
# PF01184	GPR1/FUN34/yaaH family
PF01186	Lysyl oxidase
# PF01189	16S rRNA methyltransferase RsmB/F
PF01202	Shikimate kinase
PF01204	Trehalase
PF01207	Dihydrouridine synthase (Dus)
PF01208	Uroporphyrinogen decarboxylase (URO-D)
PF01209	ubiE/COQ5 methyltransferase family
PF01210	NAD-dependent glycerol-3-phosphate dehydrogenase N-terminus
PF01212	Beta-eliminating lyase
# PF01215	Cytochrome c oxidase subunit Vb
PF01218	Coproporphyrinogen III oxidase
PF01219	Prokaryotic diacylglycerol kinase
PF01220	Dehydroquinase class II
# PF01223	DNA/RNA non-specific endonuclease
PF01227	GTP cyclohydrolase I
PF01229	Glycosyl hydrolases family 39
PF01232	Mannitol dehydrogenase Rossmann domain
PF01233	Myristoyl-CoA:protein N-myristoyltransferase, N-terminal domain
PF01234	NNMT/PNMT/TEMT family
PF01238	Phosphomannose isomerase type I
PF01239	Protein prenyltransferase alpha subunit repeat
PF01242	6-pyruvoyl tetrahydropterin synthase
PF01243	Pyridoxamine 5'-phosphate oxidase
PF01244	Membrane dipeptidase (Peptidase family M19)
PF01252	Signal peptidase (SPase) II
PF01255	Putative undecaprenyl diphosphate synthase
PF01256	Carbohydrate kinase
PF01261	Xylose isomerase-like TIM barrel
PF01262	Alanine dehydrogenase/PNT, C-terminal domain
PF01263	Aldose 1-epimerase
PF01264	Chorismate synthase
# PF01265	Cytochrome c/c1 heme lyase
PF01266	FAD dependent oxidoreductase
PF01268	Formate--tetrahydrofolate ligase
# PF01269	Fibrillarin
PF01270	Glycosyl hydrolases family 8
PF01274	Malate synthase
PF01288	7,8-dihydro-6-hydroxymethylpterin-pyrophosphokinase (HPPK)
PF01292	Prokaryotic cytochrome b561
PF01293	Phosphoenolpyruvate carboxykinase
PF01295	Adenylate cyclase, class-I
# PF01300	Telomere recombination
PF01301	Glycosyl hydrolases family 35
PF01314	Aldehyde ferredoxin oxidoreductase, domains 2 & 3
PF01315	Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain
PF01321	Creatinase/Prolidase N-terminal domain
# PF01322	Cytochrome C'
PF01323	DSBA-like thioredoxin domain
PF01326	Pyruvate phosphate dikinase, PEP/pyruvate binding domain
PF01328	Peroxidase, family 2
PF01329	Pterin 4 alpha carbinolamine dehydratase
PF01339	CheB methylesterase
PF01341	Glycosyl hydrolases family 6
PF01343	Peptidase family S49
# PF01344	Kelch motif
# PF01349	Flavivirus non-structural protein NS4B
PF01361	Tautomerase enzyme
PF01364	Peptidase family C25
PF01370	NAD dependent epimerase/dehydratase family
PF01373	Glycosyl hydrolase family 14
PF01374	Glycosyl hydrolase family 46
PF01379	Porphobilinogen deaminase, dipyromethane cofactor binding domain
PF01380	SIS domain
# PF01382	Avidin family
# PF01396	Topoisomerase DNA binding C4 zinc finger
PF01397	Terpene synthase, N-terminal domain
PF01400	Astacin (Peptidase family M12A)
# PF01401	Angiotensin-converting enzyme
PF01408	Oxidoreductase family, NAD-binding Rossmann fold
PF01421	Reprolysin (M12B) family zinc metalloprotease
PF01425	Amidase
PF01427	D-ala-D-ala dipeptidase
PF01431	Peptidase family M13
PF01432	Peptidase family M3
PF01434	Peptidase family M41
PF01435	Peptidase family M48
PF01436	NHL repeat
PF01441	Lipoprotein
PF01442	Apolipoprotein A1/A4/E domain
PF01447	Thermolysin metallopeptidase, catalytic domain
PF01450	Acetohydroxy acid isomeroreductase, catalytic domain
PF01451	Low molecular weight phosphotyrosine protein phosphatase
# PF01453	D-mannose binding lectin
PF01457	Leishmanolysin
PF01464	Transglycosylase SLT domain
PF01467	Cytidylyltransferase-like
PF01471	Putative peptidoglycan binding domain
# PF01472	PUA domain
PF01474	Class-II DAHP synthetase family
PF01478	Type IV leader peptidase family
PF01483	Proprotein convertase P-domain
PF01487	Type I 3-dehydroquinase
PF01488	Shikimate / quinate 5-dehydrogenase
PF01493	GXGXG motif
PF01494	FAD binding domain
PF01501	Glycosyl transferase family 8
PF01502	Phosphoribosyl-AMP cyclohydrolase
PF01504	Phosphatidylinositol-4-phosphate 5-Kinase
# PF01506	Hepatitis C virus non-structural 5a protein membrane anchor
PF01507	Phosphoadenosine phosphosulfate reductase family
PF01510	N-acetylmuramoyl-L-alanine amidase
PF01513	ATP-NAD kinase
PF01515	Phosphate acetyl/butaryl transferase
# PF01519	Protein of unknown function DUF16
PF01520	N-acetylmuramoyl-L-alanine amidase
PF01521	Iron-sulphur cluster biosynthesis
PF01522	Polysaccharide deacetylase
# PF01525	Rotavirus NS26
PF01531	Glycosyl transferase family 11
PF01532	Glycosyl hydrolase family 47
PF01536	Adenosylmethionine decarboxylase
# PF01538	Hepatitis C virus non-structural protein NS2
# PF01552	Picornavirus 2B protein
PF01553	Acyltransferase
# PF01555	DNA methylase
PF01557	Fumarylacetoacetate (FAA) hydrolase family
PF01558	Pyruvate ferredoxin/flavodoxin oxidoreductase
# PF01562	Reprolysin family propeptide
# PF01563	Alphavirus E3 glycoprotein
PF01564	Spermine/spermidine synthase domain
PF01565	FAD binding domain
PF01568	Molydopterin dinucleotide binding domain
PF01569	PAP2 superfamily
PF01571	Aminomethyltransferase folate-binding domain
PF01575	MaoC like domain
# PF01577	Potyvirus P1 protease
# PF01578	Cytochrome C assembly protein
# PF01582	TIR domain
PF01583	Adenylylsulphate kinase
# PF01589	Alphavirus E1 glycoprotein
# PF01590	GAF domain
PF01591	6-phosphofructo-2-kinase
PF01592	NifU-like N terminal domain
PF01593	Flavin containing amine oxidoreductase
PF01595	Domain of unknown function DUF21
PF01596	O-methyltransferase
PF01613	Flavin reductase like domain
PF01619	Proline dehydrogenase
# PF01624	MutS domain I
PF01625	Peptide methionine sulfoxide reductase
PF01627	Hpt domain
PF01630	Hyaluronidase
PF01633	Choline/ethanolamine kinase
PF01634	ATP phosphoribosyltransferase
PF01636	Phosphotransferase enzyme family
PF01640	Peptidase C10 family
PF01641	SelR domain
PF01642	Methylmalonyl-CoA mutase
PF01643	Acyl-ACP thioesterase
PF01644	Chitin synthase
PF01645	Conserved region in glutamate synthase
PF01648	4'-phosphopantetheinyl transferase superfamily
PF01650	Peptidase C13 family
PF01656	CobQ/CobB/MinD/ParA nucleotide binding domain
PF01658	Myo-inositol-1-phosphate synthase
# PF01660	Viral methyltransferase
# PF01661	Macro domain
PF01663	Type I phosphodiesterase / nucleotide pyrophosphatase
PF01670	Glycosyl hydrolase family 12
PF01674	Lipase (class 2)
PF01676	Metalloenzyme superfamily
PF01678	Diaminopimelate epimerase
PF01687	Riboflavin kinase
PF01694	Rhomboid family
PF01697	Glycosyltransferase family 92
# PF01702	Queuine tRNA-ribosyltransferase
PF01704	UTP--glucose-1-phosphate uridylyltransferase
# PF01709	Transcriptional regulator
PF01712	Deoxynucleoside kinase
# PF01713	Smr domain
# PF01715	IPP transferase
PF01717	Cobalamin-independent synthase, Catalytic domain
# PF01719	Plasmid replication protein
# PF01725	Ham1 family
# PF01726	LexA DNA binding domain
PF01728	FtsJ-like methyltransferase
PF01729	Quinolinate phosphoribosyl transferase, C-terminal domain
# PF01730	UreF
PF01731	Arylesterase
PF01734	Patatin-like phospholipase
PF01735	Lysophospholipase catalytic domain
PF01738	Dienelactone hydrolase family
PF01742	Clostridial neurotoxin zinc protease
# PF01743	Poly A polymerase head domain
PF01745	Isopentenyl transferase
# PF01746	tRNA (Guanine-1)-methyltransferase
PF01747	ATP-sulfurylase
PF01750	Hydrogenase maturation protease
# PF01751	Toprim domain
PF01752	Collagenase
PF01755	Glycosyltransferase family 25 (LPS biosynthesis protein)
PF01756	Acyl-CoA oxidase
PF01757	Acyltransferase family
PF01761	3-dehydroquinate synthase
PF01762	Galactosyltransferase
PF01764	Lipase (class 3)
# PF01774	UreD urease accessory protein
PF01790	Prolipoprotein diacylglyceryl transferase
PF01791	DeoC/LacD family aldolase
PF01793	Glycolipid 2-alpha-mannosyltransferase
PF01794	Ferric reductase like transmembrane component
# PF01795	MraW methylase family
# PF01796	DUF35 OB-fold domain, acyl-CoA-associated
PF01799	[2Fe-2S] binding domain
PF01804	Penicillin amidase
# PF01807	CHC2 zinc finger
PF01808	AICARFT/IMPCHase bienzyme
# PF01810	LysE type translocator
PF01812	5-formyltetrahydrofolate cyclo-ligase family
# PF01814	Hemerythrin HHE cation binding domain
PF01817	Chorismate mutase type II
PF01820	D-ala D-ala ligase N-terminus
PF01828	Peptidase A4 family
